bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJEB41199,,,ERS5303500,ERX4683330,ERR4813340,S,,S,,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303501,ERX4683331,ERR4813341,R,,R,,,S,,R,R,S,,R,,R,S
PRJEB41199,,,ERS5303502,ERX4683332,ERR4813342,S,S,S,S,S,S,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303503,ERX4683333,ERR4813343,,S,S,S,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303504,ERX4683334,ERR4813344,S,S,S,S,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303505,ERX4683335,ERR4813345,S,,S,,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303506,ERX4683336,ERR4813346,S,S,S,S,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303507,ERX4683337,ERR4813347,S,S,S,S,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303508,ERX4683338,ERR4813348,S,S,S,S,,S,,R,S,R,S,R,,R,R
PRJEB41199,,,ERS5303509,ERX4683339,ERR4813349,S,S,S,S,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303510,ERX4683340,ERR4813350,S,S,S,S,S,S,,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303511,ERX4683341,ERR4813351,,,R,,,R,,R,R,R,S,,,R,R
PRJEB41199,,,ERS5303512,ERX4683342,ERR4813352,S,S,R,S,,S,,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303513,ERX4683343,ERR4813353,S,S,S,,S,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303514,ERX4683344,ERR4813354,S,,S,S,,R,,S,S,S,,,,R,S
PRJEB41199,,,ERS5303515,ERX4683345,ERR4813355,,S,S,S,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303516,ERX4683346,ERR4813356,S,S,S,S,,R,,R,S,S,,S,,R,S
PRJEB41199,,,ERS5303517,ERX4683347,ERR4813357,S,S,S,S,S,S,R,R,R,S,,S,,R,R
PRJEB41199,,,ERS5303518,ERX4683348,ERR4813358,S,S,S,S,S,R,,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303519,ERX4683349,ERR4813359,S,,S,,,S,,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303520,ERX4683350,ERR4813360,S,S,S,S,,S,,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303521,ERX4683351,ERR4813361,S,S,S,S,S,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303522,ERX4683352,ERR4813362,S,S,S,,,R,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303523,ERX4683353,ERR4813363,S,S,S,S,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303524,ERX4683354,ERR4813364,S,S,S,S,S,S,,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303525,ERX4683355,ERR4813365,S,S,S,S,S,S,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303526,ERX4683356,ERR4813366,,S,S,S,S,S,R,R,S,S,,S,,R,R
PRJEB41199,,,ERS5303527,ERX4683357,ERR4813367,S,S,S,S,S,R,S,R,S,R,S,R,,R,S
PRJEB41199,,,ERS5303528,ERX4683358,ERR4813368,S,S,S,,,R,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303529,ERX4683359,ERR4813369,S,S,S,S,,S,,R,S,S,,S,,S,S
PRJEB41199,,,ERS5303530,ERX4683360,ERR4813370,S,S,S,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303531,ERX4683361,ERR4813371,,,S,,S,S,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303532,ERX4683362,ERR4813372,R,S,R,,S,R,S,R,R,S,S,S,,R,R
PRJEB41199,,,ERS5303533,ERX4683363,ERR4813373,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303534,ERX4683364,ERR4813374,S,S,S,S,S,R,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303535,ERX4683365,ERR4813375,S,S,S,S,S,S,,S,S,S,S,,,S,S
PRJEB41199,,,ERS5303536,ERX4683366,ERR4813376,S,S,S,S,S,S,,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303537,ERX4683367,ERR4813377,S,S,S,S,S,R,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303538,ERX4683368,ERR4813378,S,S,S,S,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303539,ERX4683369,ERR4813379,S,S,S,S,S,S,S,R,S,S,,,,S,S
PRJEB41199,,,ERS5303540,ERX4683370,ERR4813380,S,S,S,S,S,R,S,S,S,S,S,,,R,S
PRJEB41199,,,ERS5303541,ERX4683371,ERR4813381,S,,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303544,ERX4683374,ERR4813384,S,S,S,,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303545,ERX4683375,ERR4813385,S,,S,S,S,S,,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303546,ERX4683376,ERR4813386,S,S,S,,S,R,S,R,S,S,,,,R,S
PRJEB41199,,,ERS5303547,ERX4683377,ERR4813387,S,S,S,S,S,R,S,R,S,S,,S,,R,S
PRJEB41199,,,ERS5303548,ERX4683378,ERR4813388,S,,S,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303549,ERX4683379,ERR4813389,S,S,S,S,,R,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303550,ERX4683380,ERR4813390,S,S,S,S,S,S,R,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303551,ERX4683381,ERR4813391,S,S,S,S,,S,S,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303552,ERX4683382,ERR4813392,S,S,S,S,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303553,ERX4683383,ERR4813393,S,S,S,S,,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303554,ERX4683384,ERR4813394,S,S,S,S,S,S,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303555,ERX4683385,ERR4813395,S,S,S,S,,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303556,ERX4683386,ERR4813396,S,S,S,S,S,S,S,S,S,S,S,S,,S,S
PRJEB41199,,,ERS5303557,ERX4683387,ERR4813397,S,S,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303558,ERX4683388,ERR4813398,R,S,S,S,S,R,S,R,R,S,S,,,R,R
PRJEB41199,,,ERS5303559,ERX4683389,ERR4813399,S,S,S,S,S,S,R,R,S,S,,,,R,S
PRJEB41199,,,ERS5303560,ERX4683390,ERR4813400,S,S,,S,S,S,S,S,S,S,S,,,R,S
PRJEB41199,,,ERS5303561,ERX4683391,ERR4813401,S,S,S,S,S,S,R,R,R,S,S,S,,R,R
PRJEB41199,,,ERS5303562,ERX4683392,ERR4813402,R,S,S,S,S,R,S,R,R,R,S,R,,R,R
PRJEB41199,,,ERS5303563,ERX4683393,ERR4813403,S,S,S,S,S,S,S,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303564,ERX4683394,ERR4813404,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303565,ERX4683395,ERR4813405,R,S,S,S,S,S,R,R,S,S,S,R,,R,S
PRJEB41199,,,ERS5303566,ERX4683396,ERR4813406,S,S,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303567,ERX4683397,ERR4813407,S,S,S,S,S,R,S,R,R,S,S,S,,R,R
PRJEB41199,,,ERS5303568,ERX4683398,ERR4813408,S,S,S,S,S,S,,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303569,ERX4683399,ERR4813409,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303571,ERX4683401,ERR4813411,,S,S,,S,S,S,S,S,S,,,,R,S
PRJEB41199,,,ERS5303572,ERX4683402,ERR4813412,S,S,S,S,S,R,,S,R,S,S,,,R,S
PRJEB41199,,,ERS5303573,ERX4683403,ERR4813413,S,S,S,S,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303574,ERX4683404,ERR4813414,S,S,,S,S,S,S,S,S,S,S,S,,S,
PRJEB41199,,,ERS5303575,ERX4683405,ERR4813415,S,S,S,S,S,R,,S,S,S,,,,R,S
PRJEB41199,,,ERS5303576,ERX4683406,ERR4813416,S,,S,S,S,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303577,ERX4683407,ERR4813417,S,S,S,,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303578,ERX4683408,ERR4813418,,,,S,S,S,,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303579,ERX4683409,ERR4813419,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303580,ERX4683410,ERR4813420,R,S,R,S,S,R,S,R,R,R,,R,,R,R
PRJEB41199,,,ERS5303581,ERX4683411,ERR4813421,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303582,ERX4683412,ERR4813422,R,S,R,S,S,S,R,R,R,R,,R,,R,R
PRJEB41199,,,ERS5303583,ERX4683413,ERR4813423,S,S,S,S,S,S,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303584,ERX4683414,ERR4813424,S,,S,,S,R,S,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303585,ERX4683415,ERR4813425,S,S,,S,S,R,,R,S,,S,S,,R,
PRJEB41199,,,ERS5303586,ERX4683416,ERR4813426,S,S,,S,S,S,S,R,S,S,S,S,,S,
PRJEB41199,,,ERS5303587,ERX4683417,ERR4813427,S,S,,S,S,S,R,R,S,,S,,,R,
PRJEB41199,,,ERS5303588,ERX4683418,ERR4813428,S,S,,S,S,S,S,R,S,S,S,,,S,
PRJEB41199,,,ERS5303589,ERX4683419,ERR4813429,S,S,,S,,S,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303590,ERX4683420,ERR4813430,S,S,,,S,R,S,R,S,S,,S,,S,
PRJEB41199,,,ERS5303591,ERX4683421,ERR4813431,S,S,,S,S,S,S,S,S,S,S,S,,S,
PRJEB41199,,,ERS5303592,ERX4683422,ERR4813432,S,S,,S,S,S,S,,S,S,,S,,,
PRJEB41199,,,ERS5303593,ERX4683423,ERR4813433,S,S,,S,S,S,S,R,S,S,,S,,R,
PRJEB41199,,,ERS5303594,ERX4683424,ERR4813434,S,S,,,,R,S,R,S,,,S,,S,
PRJEB41199,,,ERS5303190,ERX4683020,ERR4813030,S,S,,,S,,,R,S,S,S,,,R,
PRJEB41199,,,ERS5303195,ERX4683025,ERR4813035,S,,,,S,S,S,S,S,S,,,,,
PRJEB41199,,,ERS5303595,ERX4683425,ERR4813435,S,S,,S,S,,,R,S,S,,,,R,
PRJEB41199,,,ERS5303596,ERX4683426,ERR4813436,,,,S,S,,R,R,,S,S,S,,R,
PRJEB41199,,,ERS5303597,ERX4683427,ERR4813437,S,S,,S,S,,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303598,ERX4683428,ERR4813438,S,S,,S,S,S,R,,S,,,,,R,
PRJEB41199,,,ERS5303599,ERX4683429,ERR4813439,S,S,,S,,R,S,R,S,,S,,,R,
PRJEB41199,,,ERS5303600,ERX4683430,ERR4813440,S,,,S,S,,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303601,ERX4683431,ERR4813441,S,S,,S,S,,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303602,ERX4683432,ERR4813442,,,,,,S,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303604,ERX4683434,ERR4813444,S,S,,S,S,R,S,R,S,S,S,S,,,
PRJEB41199,,,ERS5303606,ERX4683436,ERR4813446,S,S,,S,S,S,R,R,S,S,S,S,,,
PRJEB41199,,,ERS5303607,ERX4683437,ERR4813447,,S,S,S,S,S,S,R,R,S,,S,,R,R
PRJEB41199,,,ERS5303608,ERX4683438,ERR4813448,S,S,,S,S,S,S,R,S,,S,S,,,
PRJEB41199,,,ERS5303609,ERX4683439,ERR4813449,S,S,,S,S,S,S,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303610,ERX4683440,ERR4813450,S,S,,S,S,R,S,R,S,,S,,,R,
PRJEB41199,,,ERS5303611,ERX4683441,ERR4813451,S,S,,S,S,R,,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303613,ERX4683443,ERR4813453,S,,,S,S,,,R,S,S,,S,,R,
PRJEB41199,,,ERS5303614,ERX4683444,ERR4813454,S,S,,S,,,S,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303615,ERX4683445,ERR4813455,S,S,,,S,S,S,R,,,,,,R,
PRJEB41199,,,ERS5303616,ERX4683446,ERR4813456,,,,S,,,S,R,S,,,R,,R,
PRJEB41199,,,ERS5303617,ERX4683447,ERR4813457,S,S,,S,S,S,S,S,S,S,S,S,,R,
PRJEB41199,,,ERS5303618,ERX4683448,ERR4813458,S,S,,,S,R,,R,S,S,S,,,R,
PRJEB41199,,,ERS5303619,ERX4683449,ERR4813459,S,S,,S,S,S,S,R,S,,,,,R,
PRJEB41199,,,ERS5303620,ERX4683450,ERR4813460,S,S,,S,S,S,S,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303621,ERX4683451,ERR4813461,S,S,,S,,R,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303623,ERX4683453,ERR4813463,S,S,,S,S,R,S,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303624,ERX4683454,ERR4813464,S,S,,S,S,S,R,R,S,S,,,,R,
PRJEB41199,,,ERS5303625,ERX4683455,ERR4813465,S,S,,S,S,S,S,R,S,S,S,S,,S,
PRJEB41199,,,ERS5303626,ERX4683456,ERR4813466,S,S,,S,S,R,S,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303627,ERX4683457,ERR4813467,S,S,,S,S,S,S,R,S,S,S,S,,S,
PRJEB41199,,,ERS5303628,ERX4683458,ERR4813468,S,S,,S,S,S,R,R,S,S,S,S,,R,
PRJEB41199,,,ERS5303629,ERX4683459,ERR4813469,S,,S,S,S,S,S,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303630,ERX4683460,ERR4813470,S,,S,,,R,,R,S,S,,,,R,R
PRJEB41199,,,ERS5303631,ERX4683461,ERR4813471,S,S,S,S,S,S,R,R,S,S,,S,,R,R
PRJEB41199,,,ERS5303632,ERX4683462,ERR4813472,S,,S,S,,S,,R,S,R,,R,,R,
PRJEB41199,,,ERS5303633,ERX4683463,ERR4813473,,S,S,S,S,S,,R,R,S,,S,,R,S
PRJEB41199,,,ERS5303634,ERX4683464,ERR4813474,S,S,R,S,S,S,R,R,R,S,,S,,R,S
PRJEB41199,,,ERS5303635,ERX4683465,ERR4813475,,S,R,,,R,,S,R,R,S,,,R,S
PRJEB41199,,,ERS5303636,ERX4683466,ERR4813476,S,,S,S,S,S,R,R,R,S,S,S,,R,S
PRJEB41199,,,ERS5303637,ERX4683467,ERR4813477,S,,S,,S,S,S,R,S,S,,,,R,S
PRJEB41199,,,ERS5303043,ERX4682873,ERR4812883,,,S,,S,S,S,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303044,ERX4682874,ERR4812884,S,S,S,,S,S,S,R,S,S,,,,R,R
PRJEB41199,,,ERS5303045,ERX4682875,ERR4812885,S,S,S,,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303046,ERX4682876,ERR4812886,S,S,S,S,S,S,R,R,R,S,S,S,,R,
PRJEB41199,,,ERS5303047,ERX4682877,ERR4812887,S,S,S,S,S,R,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303048,ERX4682878,ERR4812888,S,S,S,S,S,R,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303049,ERX4682879,ERR4812889,,S,R,S,S,S,,R,R,R,S,R,,R,R
PRJEB41199,,,ERS5303050,ERX4682880,ERR4812890,S,S,S,S,S,R,R,R,S,S,,,,R,S
PRJEB41199,,,ERS5303051,ERX4682881,ERR4812891,S,S,S,S,,S,,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303052,ERX4682882,ERR4812892,S,S,S,S,S,R,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303053,ERX4682883,ERR4812893,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303054,ERX4682884,ERR4812894,S,S,S,S,S,R,S,S,S,S,S,,,R,S
PRJEB41199,,,ERS5303055,ERX4682885,ERR4812895,S,,S,S,S,S,S,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303056,ERX4682886,ERR4812896,S,,S,S,S,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303057,ERX4682887,ERR4812897,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303058,ERX4682888,ERR4812898,S,S,S,S,,R,S,S,S,S,S,,,R,S
PRJEB41199,,,ERS5303059,ERX4682889,ERR4812899,S,S,S,S,S,S,S,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303060,ERX4682890,ERR4812900,S,S,S,S,,S,R,R,S,S,S,S,,,
PRJEB41199,,,ERS5303184,ERX4683014,ERR4813024,S,S,S,S,S,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303185,ERX4683015,ERR4813025,S,S,S,S,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303186,ERX4683016,ERR4813026,R,S,R,S,,R,,R,R,R,S,S,,R,S
PRJEB41199,,,ERS5303187,ERX4683017,ERR4813027,S,S,S,S,,S,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303188,ERX4683018,ERR4813028,S,S,S,S,S,S,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303189,ERX4683019,ERR4813029,S,S,S,,S,S,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303197,ERX4683027,ERR4813037,S,S,R,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303198,ERX4683028,ERR4813038,S,S,S,S,S,S,R,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303199,ERX4683029,ERR4813039,S,S,S,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303200,ERX4683030,ERR4813040,S,,S,,,S,S,S,S,S,S,,,S,S
PRJEB41199,,,ERS5303201,ERX4683031,ERR4813041,S,,S,,,S,,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303202,ERX4683032,ERR4813042,,S,S,S,S,R,,R,R,S,S,,,R,R
PRJEB41199,,,ERS5303205,ERX4683035,ERR4813045,S,S,S,S,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303206,ERX4683036,ERR4813046,S,S,S,S,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303207,ERX4683037,ERR4813047,S,S,S,S,S,R,S,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303208,ERX4683038,ERR4813048,S,S,S,S,S,R,S,R,S,R,S,R,,R,S
PRJEB41199,,,ERS5303209,ERX4683039,ERR4813049,S,S,S,,,S,,R,S,S,,,,R,R
PRJEB41199,,,ERS5303210,ERX4683040,ERR4813050,S,,S,,,S,,R,S,R,S,R,,R,R
PRJEB41199,,,ERS5303211,ERX4683041,ERR4813051,,,S,,,S,,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303212,ERX4683042,ERR4813052,S,S,S,S,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303213,ERX4683043,ERR4813053,S,,R,S,,S,,R,R,S,S,S,,R,R
PRJEB41199,,,ERS5303214,ERX4683044,ERR4813054,S,S,S,S,S,R,S,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303215,ERX4683045,ERR4813055,S,S,S,S,S,S,,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303216,ERX4683046,ERR4813056,S,S,S,S,S,S,,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303217,ERX4683047,ERR4813057,S,S,S,S,,S,,R,S,S,,S,,R,S
PRJEB41199,,,ERS5303219,ERX4683049,ERR4813059,,,S,,,S,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303220,ERX4683050,ERR4813060,,,S,,,R,,R,S,S,,,,R,R
PRJEB41199,,,ERS5303221,ERX4683051,ERR4813061,S,S,S,S,,S,,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303222,ERX4683052,ERR4813062,S,S,S,S,S,S,,R,S,S,,S,,S,S
PRJEB41199,,,ERS5303224,ERX4683054,ERR4813064,S,S,S,S,S,S,,R,S,S,,S,,R,R
PRJEB41199,,,ERS5303226,ERX4683056,ERR4813066,S,S,S,,S,S,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303227,ERX4683057,ERR4813067,S,S,S,,S,S,S,R,S,S,S,R,,R,R
PRJEB41199,,,ERS5303228,ERX4683058,ERR4813068,,,S,,,S,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303229,ERX4683059,ERR4813069,S,S,R,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303237,ERX4683067,ERR4813077,,S,S,,S,R,S,R,S,S,,S,,R,R
PRJEB41199,,,ERS5303238,ERX4683068,ERR4813078,R,S,R,S,S,R,S,R,R,R,S,,,R,R
PRJEB41199,,,ERS5303240,ERX4683070,ERR4813080,S,S,S,S,S,S,S,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303241,ERX4683071,ERR4813081,S,S,S,S,,S,S,R,S,S,,S,,R,R
PRJEB41199,,,ERS5303244,ERX4683074,ERR4813084,S,S,S,,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303248,ERX4683078,ERR4813088,S,S,S,S,S,S,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303253,ERX4683083,ERR4813093,S,S,S,S,,S,S,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303112,ERX4682942,ERR4812952,S,S,S,S,S,R,S,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303123,ERX4682953,ERR4812963,,S,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303124,ERX4682954,ERR4812964,S,S,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303125,ERX4682955,ERR4812965,S,S,S,S,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303126,ERX4682956,ERR4812966,,,S,,,S,,R,,S,,,,R,S
PRJEB41199,,,ERS5303128,ERX4682958,ERR4812968,,S,S,S,S,S,S,R,S,S,,,,R,R
PRJEB41199,,,ERS5303130,ERX4682960,ERR4812970,S,S,S,S,S,R,,S,S,R,,,,R,S
PRJEB41199,,,ERS5303131,ERX4682961,ERR4812971,S,S,S,S,S,S,R,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303132,ERX4682962,ERR4812972,S,S,S,S,S,S,S,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303133,ERX4682963,ERR4812973,S,S,S,S,S,R,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303135,ERX4682965,ERR4812975,S,S,S,S,,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303136,ERX4682966,ERR4812976,S,S,S,,S,S,S,R,S,S,S,S,,S,S
PRJEB41199,,,ERS5303137,ERX4682967,ERR4812977,,S,S,S,S,S,,R,R,S,S,,,R,R
PRJEB41199,,,ERS5303138,ERX4682968,ERR4812978,,S,R,S,S,S,S,R,R,R,S,S,,R,R
PRJEB41199,,,ERS5303141,ERX4682971,ERR4812981,,S,S,S,S,R,S,R,S,S,,S,,R,S
PRJEB41199,,,ERS5303144,ERX4682974,ERR4812984,S,S,S,S,S,R,S,R,S,S,,,,R,S
PRJEB41199,,,ERS5303146,ERX4682976,ERR4812986,S,S,S,S,S,R,S,S,S,S,S,,,S,S
PRJEB41199,,,ERS5303149,ERX4682979,ERR4812989,S,S,S,S,S,R,,R,S,S,S,,,R,S
PRJEB41199,,,ERS5303151,ERX4682981,ERR4812991,S,S,S,S,S,R,R,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303152,ERX4682982,ERR4812992,S,S,S,S,S,S,S,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303153,ERX4682983,ERR4812993,S,,S,,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303154,ERX4682984,ERR4812994,,,R,,,R,,S,R,S,,,,R,S
PRJEB41199,,,ERS5303155,ERX4682985,ERR4812995,S,S,S,,,R,,R,S,S,,S,,R,S
PRJEB41199,,,ERS5303156,ERX4682986,ERR4812996,S,S,S,S,,S,,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303158,ERX4682988,ERR4812998,R,,R,S,,R,S,S,R,S,,S,,R,S
PRJEB41199,,,ERS5303160,ERX4682990,ERR4813000,S,,S,S,S,R,S,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303161,ERX4682991,ERR4813001,R,,R,,,R,,R,R,R,,R,,R,S
PRJEB41199,,,ERS5303162,ERX4682992,ERR4813002,S,S,S,S,,S,,R,S,S,,,,R,S
PRJEB41199,,,ERS5303163,ERX4682993,ERR4813003,S,S,S,,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303164,ERX4682994,ERR4813004,S,S,S,S,,S,,R,S,S,S,,,S,S
PRJEB41199,,,ERS5303167,ERX4682997,ERR4813007,S,,S,,,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303169,ERX4682999,ERR4813009,,,S,,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303170,ERX4683000,ERR4813010,,,S,,,S,,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303174,ERX4683004,ERR4813014,S,S,S,S,S,S,,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303176,ERX4683006,ERR4813016,S,S,S,S,,S,,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303177,ERX4683007,ERR4813017,,S,S,,,R,,S,S,S,,,,R,S
PRJEB41199,,,ERS5303196,ERX4683026,ERR4813036,S,,S,,,S,,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303204,ERX4683034,ERR4813044,S,S,S,S,S,S,,S,S,S,S,,,R,S
PRJEB41199,,,ERS5303218,ERX4683048,ERR4813058,S,S,S,S,S,S,S,S,S,S,,S,,R,S
PRJEB41199,,,ERS5303230,ERX4683060,ERR4813070,S,S,S,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303231,ERX4683061,ERR4813071,S,S,S,S,S,R,S,R,S,S,,,,R,S
PRJEB41199,,,ERS5303232,ERX4683062,ERR4813072,S,S,S,S,S,S,R,R,S,S,S,S,,R,S
PRJEB41199,,,ERS5303233,ERX4683063,ERR4813073,S,S,S,S,S,S,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303234,ERX4683064,ERR4813074,S,S,S,S,S,R,S,S,S,S,S,S,,R,S
PRJEB41199,,,ERS5303235,ERX4683065,ERR4813075,R,S,R,S,S,S,S,R,R,R,S,R,,R,R
PRJEB41199,,,ERS5303236,ERX4683066,ERR4813076,S,S,S,S,S,R,S,R,S,S,S,S,,R,R
PRJEB41199,,,ERS5303239,ERX4683069,ERR4813079,S,S,S,S,S,S,S,R,S,S,S,,,R,R
PRJEB41199,,,ERS5303242,ERX4683072,ERR4813082,S,S,S,S,S,S,S,R,S,S,S,S,,R,R
