bioproject,study,biosample,sample,experiment,run,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
PRJNA428596,,SAMN08709200,,SRX3788437,SRR6832605,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709201,,SRX3788444,SRR6832598,S,,S,,,,S,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709202,,SRX3788443,SRR6832599,S,,S,,,,S,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709203,,SRX3788832,SRR6832745,S,,S,,,,R,R,R,R,,S,R,R,R
PRJNA428596,,SAMN08709204,,SRX3788833,SRR6832744,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709205,,SRX3788830,SRR6832747,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709206,,SRX3788831,SRR6832746,S,,S,,,,R,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709207,,SRX3788828,SRR6832749,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709208,,SRX3788829,SRR6832748,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709209,,SRX3788826,SRR6832751,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709210,,SRX3788827,SRR6832750,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709211,,SRX3788834,SRR6832743,S,,S,,,,R,R,R,S,,S,S,R,R
PRJNA428596,,SAMN08709212,,SRX3788835,SRR6832742,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709213,,SRX3788795,SRR6832782,R,,S,,,,R,R,R,S,,S,S,R,R
PRJNA428596,,SAMN08709214,,SRX3788794,SRR6832783,S,,S,,,,S,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709215,,SRX3788793,SRR6832784,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709216,,SRX3788792,SRR6832785,S,,S,,,,R,R,R,R,,S,S,R,R
PRJNA428596,,SAMN08709217,,SRX3788799,SRR6832778,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709218,,SRX3788798,SRR6832779,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709219,,SRX3788797,SRR6832780,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709220,,SRX3788796,SRR6832781,S,,S,,,,R,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709221,,SRX3788801,SRR6832776,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709222,,SRX3788800,SRR6832777,S,,S,,,,S,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709223,,SRX3788649,SRR6832393,S,,S,,,,S,R,S,S,,S,S,S,R
PRJNA428596,,SAMN08709224,,SRX3788650,SRR6832392,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709225,,SRX3788651,SRR6832391,S,,S,,,,S,R,R,S,,S,S,R,R
PRJNA428596,,SAMN08709226,,SRX3788652,SRR6832390,S,,S,,,,R,R,S,S,,,,R,R
PRJNA428596,,SAMN08709227,,SRX3788645,SRR6832397,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709228,,SRX3788646,SRR6832396,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709229,,SRX3788647,SRR6832395,S,,S,,,,S,S,S,S,,S,S,S,R
PRJNA428596,,SAMN08709230,,SRX3788648,SRR6832394,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709231,,SRX3788653,SRR6832389,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709232,,SRX3788654,SRR6832388,S,,S,,,,S,S,S,S,,S,R,S,S
PRJNA428596,,SAMN08709233,,SRX3788499,SRR6832543,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709234,,SRX3788498,SRR6832544,S,,S,,,,S,R,S,S,,S,R,R,R
PRJNA428596,,SAMN08709235,,SRX3788501,SRR6832541,S,,S,,,,S,R,S,S,,S,,S,R
PRJNA428596,,SAMN08709236,,SRX3788500,SRR6832542,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709237,,SRX3788503,SRR6832539,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709238,,SRX3788502,SRR6832540,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709239,,SRX3788505,SRR6832537,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709240,,SRX3788504,SRR6832538,S,,S,,,,S,R,S,S,,,,R,R
PRJNA428596,,SAMN08709241,,SRX3788496,SRR6832546,S,,S,,,,S,S,S,S,,,,S,S
PRJNA428596,,SAMN08709242,,SRX3788495,SRR6832547,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709243,,SRX3788880,SRR6832697,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709244,,SRX3788881,SRR6832696,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709245,,SRX3788878,SRR6832699,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709246,,SRX3788879,SRR6832698,S,,S,,,,S,S,S,S,,S,S,S,S
PRJNA428596,,SAMN08709247,,SRX3788884,SRR6832693,S,,R,,,,R,R,S,S,,S,S,R,R
PRJNA428596,,SAMN08709248,,SRX3788885,SRR6832692,S,,S,,,,R,R,S,R,,,,R,R
PRJNA428596,,SAMN08709249,,SRX3788882,SRR6832695,R,,S,,,,S,R,R,S,,,,R,R
PRJNA428596,,SAMN08709250,,SRX3788883,SRR6832694,S,,S,,,,R,R,R,R,,S,R,R,R
PRJNA428596,,SAMN08709251,,SRX3788876,SRR6832701,S,,S,,,,S,S,S,S,,S,R,S,R
PRJNA428596,,SAMN08709252,,SRX3788877,SRR6832700,S,,S,,,,S,S,S,S,,S,S,S,S
