ena_project,ena_sample,ena_experiment,ena_run
PRJEB25999,ERS2401028,ERX2535566,ERR2516350
PRJEB25999,ERS2400922,ERX2535460,ERR2516244
PRJEB25999,ERS2400993,ERX2535531,ERR2516315
PRJEB25999,ERS2401044,ERX2535582,ERR2516366
PRJEB25999,ERS2400951,ERX2535489,ERR2516273
PRJEB25999,ERS2400913,ERX2535451,ERR2516235
PRJEB25999,ERS2400901,ERX2535439,ERR2516223
PRJEB25999,ERS2401057,ERX2535595,ERR2516379
PRJEB25999,ERS2400937,ERX2535475,ERR2516259
PRJEB25999,ERS2401050,ERX2535588,ERR2516372
PRJEB25999,ERS2401001,ERX2535539,ERR2516323
PRJEB25999,ERS2401005,ERX2535543,ERR2516327
PRJEB25999,ERS2400956,ERX2535494,ERR2516278
PRJEB25999,ERS2400953,ERX2535491,ERR2516275
PRJEB25999,ERS2400882,ERX2535420,ERR2516204
PRJEB25999,ERS2401038,ERX2535576,ERR2516360
PRJEB25999,ERS2401006,ERX2535544,ERR2516328
PRJEB25999,ERS2401054,ERX2535592,ERR2516376
PRJEB25999,ERS2400990,ERX2535528,ERR2516312
PRJEB25999,ERS2401061,ERX2535599,ERR2516383
PRJEB25999,ERS2400945,ERX2535483,ERR2516267
PRJEB25999,ERS2400972,ERX2535510,ERR2516294
PRJEB25999,ERS2401003,ERX2535541,ERR2516325
PRJEB25999,ERS2400894,ERX2535432,ERR2516216
PRJEB25999,ERS2401047,ERX2535585,ERR2516369
PRJEB25999,ERS2400977,ERX2535515,ERR2516299
PRJEB25999,ERS2400850,ERX2535388,ERR2516172
PRJEB25999,ERS2400950,ERX2535488,ERR2516272
PRJEB25999,ERS2400871,ERX2535409,ERR2516193
PRJEB25999,ERS2401048,ERX2535586,ERR2516370
PRJEB25999,ERS2401062,ERX2535600,ERR2516384
PRJEB25999,ERS2401010,ERX2535548,ERR2516332
PRJEB25999,ERS2400902,ERX2535440,ERR2516224
PRJEB25999,ERS2401008,ERX2535546,ERR2516330
PRJEB25999,ERS2400938,ERX2535476,ERR2516260
PRJEB25999,ERS2400875,ERX2535413,ERR2516197
PRJEB25999,ERS2401026,ERX2535564,ERR2516348
PRJEB25999,ERS2401058,ERX2535596,ERR2516380
PRJEB25999,ERS2400903,ERX2535441,ERR2516225
PRJEB25999,ERS2400926,ERX2535464,ERR2516248
PRJEB25999,ERS2400920,ERX2535458,ERR2516242
PRJEB25999,ERS2400857,ERX2535395,ERR2516179
PRJEB25999,ERS2400914,ERX2535452,ERR2516236
PRJEB25999,ERS2400856,ERX2535394,ERR2516178
PRJEB25999,ERS2401065,ERX2535603,ERR2516387
PRJEB25999,ERS2400919,ERX2535457,ERR2516241
PRJEB25999,ERS2400890,ERX2535428,ERR2516212
PRJEB25999,ERS2400888,ERX2535426,ERR2516210
PRJEB25999,ERS2400905,ERX2535443,ERR2516227
PRJEB25999,ERS2401040,ERX2535578,ERR2516362
PRJEB25999,ERS2400862,ERX2535400,ERR2516184
PRJEB25999,ERS2400997,ERX2535535,ERR2516319
PRJEB25999,ERS2400883,ERX2535421,ERR2516205
PRJEB25999,ERS2400983,ERX2535521,ERR2516305
PRJEB25999,ERS2400984,ERX2535522,ERR2516306
PRJEB25999,ERS2400949,ERX2535487,ERR2516271
PRJEB25999,ERS2400971,ERX2535509,ERR2516293
PRJEB25999,ERS2400852,ERX2535390,ERR2516174
PRJEB25999,ERS2400908,ERX2535446,ERR2516230
PRJEB25999,ERS2400896,ERX2535434,ERR2516218
PRJEB25999,ERS2400928,ERX2535466,ERR2516250
PRJEB25999,ERS2401000,ERX2535538,ERR2516322
PRJEB25999,ERS2400872,ERX2535410,ERR2516194
PRJEB25999,ERS2400885,ERX2535423,ERR2516207
PRJEB25999,ERS2400978,ERX2535516,ERR2516300
PRJEB25999,ERS2400994,ERX2535532,ERR2516316
PRJEB25999,ERS2400933,ERX2535471,ERR2516255
PRJEB25999,ERS2401049,ERX2535587,ERR2516371
PRJEB25999,ERS2401031,ERX2535569,ERR2516353
PRJEB25999,ERS2400947,ERX2535485,ERR2516269
