run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
SRR6964658,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964659,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964660,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964661,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964662,,,,,S,,,,,,,S,S,S,R,,R,R,,,S,,
SRR6964663,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964664,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964665,,,,,S,,,,,,,,S,S,,,S,S,,,R,,
SRR6964666,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964667,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964668,,,,,S,,,,,,,S,R,S,R,,R,R,,,R,,
SRR6964669,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964670,,,,,S,,,,,,,,R,S,,,S,S,,R,R,,
SRR6964671,,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6964672,,,,,S,,,,,,,,R,S,,,S,S,,R,R,,
SRR6964673,,,,,S,,,,,,,,S,S,,,S,S,,,S,,
SRR6964674,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6964675,,,,,S,,,,S,,,,S,S,,,S,S,,,S,,
SRR6964676,,,,,S,,,,,,,,R,S,,,S,S,,,R,,
SRR6981901,S,,PRJNA428596,SAMN08913210,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981902,S,,PRJNA428596,SAMN08913213,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981903,S,,PRJNA428596,SAMN08913212,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981904,S,,PRJNA428596,SAMN08913215,S,,,,,,,,S,S,,,S,S,,S,R,,
SRR6981905,S,,PRJNA428596,SAMN08913214,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981906,S,,PRJNA428596,SAMN08913217,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981907,S,,PRJNA428596,SAMN08913216,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981908,S,,PRJNA428596,SAMN08912970,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981909,S,,PRJNA428596,SAMN08912971,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981910,S,,PRJNA428596,SAMN08913059,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981911,S,,PRJNA428596,SAMN08913058,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981912,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981913,S,,PRJNA428596,SAMN08912975,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981914,S,,PRJNA428596,SAMN08912976,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981915,S,,PRJNA428596,SAMN08912977,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981916,S,,PRJNA428596,SAMN08912978,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981917,S,,PRJNA428596,SAMN08913052,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981918,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981919,S,,PRJNA428596,SAMN08913050,S,,,,,,,,S,S,,,S,S,,R,S,,
SRR6981920,S,,PRJNA428596,SAMN08913057,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981921,S,,PRJNA428596,SAMN08913056,S,,,,,,,,R,S,,,S,S,,S,S,,
SRR6981922,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981923,S,,PRJNA428596,SAMN08913054,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981924,S,,PRJNA428596,SAMN08913300,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981925,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981926,S,,PRJNA428596,SAMN08913359,S,,,,,,,,S,S,,,,S,,S,S,,
SRR6981927,S,,PRJNA428596,SAMN08912877,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981928,S,,PRJNA428596,SAMN08912876,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981929,S,,PRJNA428596,SAMN08912875,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981930,S,,PRJNA428596,SAMN08912874,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981931,S,,PRJNA428596,SAMN08912873,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981932,S,,PRJNA428596,SAMN08912872,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981933,S,,PRJNA428596,SAMN08912871,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981934,S,,PRJNA428596,SAMN08912870,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981935,S,,PRJNA428596,SAMN08913356,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981936,S,,PRJNA428596,SAMN08913357,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981937,S,,PRJNA428596,SAMN08913354,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981938,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981939,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981940,S,,PRJNA428596,SAMN08913353,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981941,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981942,S,,PRJNA428596,SAMN08912878,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981943,S,,PRJNA428596,SAMN08913350,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981944,S,,PRJNA428596,SAMN08913068,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981945,S,,PRJNA428596,SAMN08913351,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981946,S,,PRJNA428596,SAMN08913069,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981947,S,,PRJNA428596,SAMN08912788,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981948,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981949,S,,PRJNA428596,SAMN08912784,S,,,,S,,,,S,S,,,S,S,,S,S,,
SRR6981950,S,,PRJNA428596,SAMN08912785,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981951,S,,PRJNA428596,SAMN08912786,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981952,S,,PRJNA428596,SAMN08912787,R,,,,,,,,R,S,,,S,S,,R,R,,
SRR6981953,S,,PRJNA428596,SAMN08912780,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981954,S,,PRJNA428596,SAMN08912781,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981955,S,,PRJNA428596,SAMN08912782,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981956,S,,PRJNA428596,SAMN08912783,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981957,S,,PRJNA428596,SAMN08913108,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981958,S,,PRJNA428596,SAMN08913109,S,,,,,,,,S,R,,,S,S,,S,S,,
SRR6981959,S,,PRJNA428596,SAMN08913138,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981960,S,,PRJNA428596,SAMN08913139,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981961,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981962,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981963,S,,PRJNA428596,SAMN08913102,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981964,S,,PRJNA428596,SAMN08913103,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981965,S,,PRJNA428596,SAMN08913104,S,,,,,,,,R,S,,,S,S,,S,R,,
SRR6981966,S,,PRJNA428596,SAMN08913105,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981967,S,,PRJNA428596,SAMN08913106,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981968,S,,,,S,,,,,,,,S,S,,,S,S,,S,S,,
SRR6981969,S,,PRJNA428596,SAMN08913255,S,,,,,,,,S,S,,,S,S,,S,S,,
