#Sample.sample_id,Isolate.isolate_id,Seqrep.ena_run_accession,Isolate.ena_experiment_accession,Sample.ena_sample_accession,Sample.ena_study_accession,Pipeline_output,vcf
29143,29143,SRR6045245,None,SAMN07659981,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/43/29143,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29144,29144,SRR6045768,None,SAMN07659982,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/44/29144,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29145,29145,SRR6045640,None,SAMN07659986,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/45/29145,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29146,29146,SRR6045591,None,SAMN07659988,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/46/29146,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29147,29147,SRR6045366,None,SAMN07659989,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/47/29147,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29148,29148,SRR6046288,None,SAMN07659990,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/48/29148,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29149,29149,SRR6045837,None,SAMN07659991,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/49/29149,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29151,29151,SRR6045142,None,SAMN07659995,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/51/29151,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29152,29152,SRR6045046,None,SAMN07659997,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/52/29152,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
29153,29153,SRR6045753,None,SAMN07659999,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/53/29153,Pipelines/1/variant_call/0.8.3.ref.3/minos/final.vcf
29154,29154,SRR6045144,None,SAMN07660000,None,/nfs/research/zi/jknaggs/tb/cryptic_ena/Clockwork_ena_tb/Pipeline_root/00/02/91/54/29154,Pipelines/1/variant_call/0.5.2.ref.3/minos/final.vcf
